,ts,md_threshold,backbone,finetune_layers,f1,acc,prec,rec,empty_tnr,empty_tpr,empty_fnr,empty_fpr
0,202302201446,0.5,densenet121,0,0.846284116028019,0.898148148148148,0.873037957770964,0.823872133857581,0.891050583657588,0.965351299326275,0.034648700673725,0.108949416342412
1,202302201446,0.25,densenet121,21,0.820658880895295,0.877314814814815,0.853261252918527,0.794873074526187,0.836575875486381,0.9720885466795,0.0279114533205,0.163424124513619
2,202302201446,0.1,densenet121,0,0.813452114975621,0.876543209876543,0.833516146218424,0.7975842472117,0.80544747081712,0.988450433108758,0.011549566891242,0.194552529182879
3,202302201446,0.1,densenet121,21,0.803507626563665,0.851851851851852,0.833579171818476,0.78035785580584,0.715953307392996,0.989412897016362,0.010587102983638,0.284046692607004
4,202302201446,0.5,densenet121,107,0.79812573404536,0.89429012345679,0.809765744650778,0.814177475413632,0.898832684824903,0.966313763233879,0.033686236766121,0.101167315175097
5,202302201446,0.5,densenet121,21,0.794916463524707,0.87037037037037,0.830494410927626,0.765985779707465,0.856031128404669,0.966313763233879,0.033686236766121,0.143968871595331
6,202302201446,0.25,densenet121,214,0.794312306699066,0.87962962962963,0.82008104728746,0.801421805631852,0.840466926070039,0.971126082771896,0.028873917228104,0.159533073929961
7,202302201446,0.25,densenet121,107,0.792903570557748,0.867283950617284,0.825612319753553,0.768672354418545,0.832684824902724,0.97497593840231,0.02502406159769,0.167315175097276
8,202302201446,0.1,densenet121,107,0.781964486977224,0.863425925925926,0.789618028226273,0.800213916850787,0.719844357976654,0.981713185755534,0.018286814244466,0.280155642023346
9,202302201446,0.9,densenet121,0,0.771734680049524,0.88966049382716,0.782359881771135,0.789630604132202,0.929961089494164,0.948989412897016,0.051010587102984,0.070038910505837
10,202302201446,0.1,densenet121,214,0.767262603815658,0.865740740740741,0.764627176784178,0.795610803060157,0.735408560311284,0.988450433108758,0.011549566891242,0.264591439688716
11,202302201446,0.9,densenet121,21,0.759805220556748,0.881172839506173,0.775488055872288,0.775090056726417,0.929961089494164,0.948026948989413,0.051973051010587,0.070038910505837
12,202302201446,0.9,densenet121,107,0.726087025311056,0.880401234567901,0.740932587841909,0.765029227281002,0.937743190661478,0.948026948989413,0.051973051010587,0.062256809338521
13,202302201446,0.25,densenet121,0,0.685387714835665,0.81712962962963,0.737313856563128,0.651079313745219,0.813229571984436,0.964388835418672,0.035611164581328,0.186770428015564
14,202302201101,0.25,xception,66,0.830244011543062,0.907407407407407,0.822920035730623,0.861381400071816,0.859922178988327,0.97497593840231,0.02502406159769,0.140077821011673
15,202302201101,0.1,xception,33,0.825274987956141,0.895833333333333,0.822166042520954,0.855353248163691,0.766536964980545,0.986525505293552,0.013474494706449,0.233463035019455
16,202302201101,0.9,xception,0,0.822756434199774,0.908950617283951,0.836506490104119,0.839925665059799,0.933852140077821,0.947064485081809,0.052935514918191,0.066147859922179
17,202302201101,0.1,xception,66,0.820668056513921,0.891975308641975,0.810822165538335,0.853670331186007,0.778210116731518,0.982675649663138,0.017324350336862,0.221789883268482
18,202302201101,0.5,xception,0,0.812697793624576,0.905864197530864,0.824293353129483,0.829808132257479,0.894941634241245,0.965351299326275,0.034648700673725,0.105058365758755
19,202302201101,0.9,xception,6,0.81235504731875,0.908179012345679,0.832190665228553,0.826505045422511,0.937743190661478,0.948989412897016,0.051010587102984,0.062256809338521
20,202302201101,0.25,xception,6,0.81124187390805,0.910493827160494,0.815542444341705,0.855015542182914,0.894941634241245,0.9720885466795,0.0279114533205,0.105058365758755
21,202302201101,0.25,xception,33,0.810659456247167,0.910493827160494,0.815434629215721,0.852926598825451,0.879377431906615,0.973051010587103,0.026948989412897,0.120622568093385
22,202302201101,0.1,xception,0,0.810126946106951,0.901234567901235,0.807737247321799,0.856964495799011,0.801556420233463,0.985563041385948,0.014436958614052,0.198443579766537
23,202302201101,0.9,xception,33,0.806309400424199,0.900462962962963,0.833964604992485,0.814321032081987,0.929961089494164,0.948989412897016,0.051010587102984,0.070038910505837
24,202302201101,0.1,xception,6,0.805360498220072,0.893518518518519,0.801400426610166,0.835673368514555,0.77431906614786,0.989412897016362,0.010587102983638,0.22568093385214
25,202302201101,0.5,xception,33,0.805118549919648,0.909722222222222,0.798438164159531,0.855865324147738,0.891050583657588,0.966313763233879,0.033686236766121,0.108949416342412
26,202302201101,0.25,xception,0,0.795449700811787,0.909722222222222,0.800066548408172,0.852060922853968,0.879377431906615,0.97786333012512,0.02213666987488,0.120622568093385
27,202302201101,0.5,xception,6,0.7908353852874,0.902006172839506,0.793920077642171,0.833171370483566,0.90272373540856,0.963426371511068,0.036573628488932,0.09727626459144
28,202302210910,0.5,xception,66,0.8260099104768891,0.9089506172839508,0.8234553168336902,0.8521539608202464,0.8949416342412452,0.9653512993262752,0.0346487006737247,0.1050583657587548
29,202302210910,0.9,xception,66,0.7936859628433803,0.8996913580246914,0.8159414826213578,0.8054227738214833,0.9416342412451362,0.9489894128970164,0.0510105871029836,0.0583657587548638
32,202302210910,0.5,densenet121,214,0.764912214802242,0.8804012345679012,0.7865066658759053,0.7989348479390638,0.8793774319066148,0.9624639076034648,0.0375360923965351,0.1206225680933852
33,202302210910,0.5,xception,66,0.8260099104768891,0.9089506172839507,0.8234553168336902,0.8521539608202464,0.8949416342412452,0.9653512993262753,0.03464870067372473,0.10505836575875487
34,202302210910,0.9,xception,66,0.7936859628433803,0.8996913580246914,0.8159414826213578,0.8054227738214833,0.9416342412451362,0.9489894128970163,0.05101058710298364,0.058365758754863814
35,202302210910,0.5,densenet121,214,0.764912214802242,0.8804012345679012,0.7865066658759053,0.7989348479390638,0.8793774319066148,0.9624639076034649,0.03753609239653513,0.12062256809338522
36,202302210910,0.9,densenet121,214,0.8139158317529857,0.8865740740740741,0.8591841485838227,0.7816037677304805,0.9260700389105059,0.944177093358999,0.05582290664100096,0.07392996108949416
